Marca,Modelo,Cilindrada,Año,NOMBRE COMPLETO
CHERY,NEW TIGGO 3,"1,5CC",DESDE 2020,"CHERY NEW TIGGO 3 1,5CC DESDE 2020"
CHERY,TIGGO 3 PRO,"1,5CC",,"CHERY TIGGO 3 PRO 1,5CC "
CHERY,TIGGO 4,,,CHERY TIGGO 4  
CHERY,TIGGO 5,,,CHERY TIGGO 5  
CHERY,TIGGO 7,"1,5CC",,"CHERY TIGGO 7 1,5CC "
CHERY,TIGGO 7 PRO TURBO,"1,5CC",,"CHERY TIGGO 7 PRO TURBO 1,5CC "
CHERY,TIGGO 8 TURBO,"1,5CC",,"CHERY TIGGO 8 TURBO 1,5CC "
CHERY,NEW TIGGO 8,"1,5CC",,"CHERY NEW TIGGO 8 1,5CC "
CHERY,TIGGO 8 PRO TURBO,"1,6CC",,"CHERY TIGGO 8 PRO TURBO 1,6CC "
CHERY,TIGGO,"1,6CC",2008 - 2013,"CHERY TIGGO 1,6CC 2008 - 2013"
CHERY,TIGGO,"2,0CC",2008 - 2013,"CHERY TIGGO 2,0CC 2008 - 2013"
CHEVROLET,CAPTIVA TURBO,"1,5CC",,"CHEVROLET CAPTIVA TURBO 1,5CC "
CHEVROLET,CAPTIVA,,"2.011,00","CHEVROLET CAPTIVA  2.011,00"
CHEVROLET,GROVE,,,CHEVROLET GROVE  
CHEVROLET,N300 MAX,"1,2CC",2011 - 2013,"CHEVROLET N300 MAX 1,2CC 2011 - 2013"
CHEVROLET,N300 WORK,"1,5CC",,"CHEVROLET N300 WORK 1,5CC "
CHEVROLET,N400,"1,5CC",,"CHEVROLET N400 1,5CC "
CHEVROLET,NEW N300 MAX,"1,2CC",DESDE 2014,"CHEVROLET NEW N300 MAX 1,2CC DESDE 2014"
CHEVROLET,SAIL,"1,4CC",2010 - 2015,"CHEVROLET SAIL 1,4CC 2010 - 2015"
CHEVROLET,NEW SAIL,"1,5CC",DESDE 2015,"CHEVROLET NEW SAIL 1,5CC DESDE 2015"
CHEVROLET,SPARK GT,,,CHEVROLET SPARK GT  
DFM,A30,,,DFM A30  
DFM,AX3,"1,6CC",,"DFM AX3 1,6CC "
DFM,AX4,"1,6CC",,"DFM AX4 1,6CC "
DFM,CARGO VAN,"1,0CC",,"DFM CARGO VAN 1,0CC "
DFM,CARGO VAN,"1,1CC",,"DFM CARGO VAN 1,1CC "
DFM,CARGO VAN,"1,3CC",,"DFM CARGO VAN 1,3CC "
DFM,CARGO VAN,"1,3CC","2.014,00","DFM CARGO VAN 1,3CC 2.014,00"
DFM,H30,,2012 - 2014,DFM H30  2012 - 2014
DFM,H30,,2015 - 2018,DFM H30  2015 - 2018
DFM,JOYEAR XL,"1,6CC",,"DFM JOYEAR XL 1,6CC "
DFM,JOYEAR S500,"1,5CC",,"DFM JOYEAR S500 1,5CC "
DFM,JOYEAR X3,,2016 - 2017,DFM JOYEAR X3  2016 - 2017
DFM,JOYEAR X3,,DESDE 2018,DFM JOYEAR X3  DESDE 2018
DFM,S30,"1,6CC",2012 - 2014,"DFM S30 1,6CC 2012 - 2014"
DFM,S30,"1,6CC",2015 - 2018,"DFM S30 1,6CC 2015 - 2018"
DFM,S50,"1,5CC",,"DFM S50 1,5CC "
DFM,SX5,"1,6CC",,"DFM SX5 1,6CC "
DFM,SX6,"1,6CC",,"DFM SX6 1,6CC "
DFSK,"580,00",,HASTA 2021,"DFSK 580,00  HASTA 2021"
DFSK,"580,00","1,5CC",,"DFSK 580,00 1,5CC "
DFSK,"580,00","1,8CC",2022 - 2023,"DFSK 580,00 1,8CC 2022 - 2023"
DFSK,C21,"1,2CC",,"DFSK C21 1,2CC "
DFSK,C22,"1,2CC",,"DFSK C22 1,2CC "
DFSK,CARGO VAN C25,"1,2CC",,"DFSK CARGO VAN C25 1,2CC "
DFSK,C31,"1,5CC",,"DFSK C31 1,5CC "
DFSK,C32,"1,5CC",,"DFSK C32 1,5CC "
DFSK,C37,,,DFSK C37  
DFSK,CARGO TRUCK SERIE V,"1,3CC",,"DFSK CARGO TRUCK SERIE V 1,3CC "
DONGFENG,DF2500 VVT,"1,3CC",,"DONGFENG DF2500 VVT 1,3CC "
DONGFENG,DF2900 VVT,"1,3CC",,"DONGFENG DF2900 VVT 1,3CC "
FAW,MAMUT T80 / V80,,,FAW MAMUT T80 / V80  
FOTON,AUMARK 613,,"2.022,00","FOTON AUMARK 613  2.022,00"
FOTON,AUMARK 613 EURO IV,,,FOTON AUMARK 613 EURO IV  
FOTON,K1,"2,8CC",,"FOTON K1 2,8CC "
FOTON,MIDI,"1,6CC",,"FOTON MIDI 1,6CC "
FOTON,MIDI CARGO,"1,3CC",,"FOTON MIDI CARGO 1,3CC "
FOTON,MIDI CARGO VAN,,,FOTON MIDI CARGO VAN  
FOTON,NEW MIDI TRUCK,"1,3CC",,"FOTON NEW MIDI TRUCK 1,3CC "
FOTON,MIDI TRUCK,"1,5CC",,"FOTON MIDI TRUCK 1,5CC "
FOTON,"MIDI CARGO1,5CC",,,"FOTON MIDI CARGO1,5CC  "
FOTON,OLN,,,FOTON OLN  
FOTON,BJ1027,,,FOTON BJ1027  
FOTON,TERRACOTA,"2,8CC",,"FOTON TERRACOTA 2,8CC "
FOTON,TM3,"1,5CC",,"FOTON TM3 1,5CC "
FOTON,TM3,"1,6CC",,"FOTON TM3 1,6CC "
FOTON,VIEW,"2,2CC",,"FOTON VIEW 2,2CC "
GAC GONOW,WAY,"1,0CC",,"GAC GONOW WAY 1,0CC "
GAC GONOW,WAY,"1,3CC",,"GAC GONOW WAY 1,3CC "
GEELY,CK (OLD),"1,5CC",2008 - 2010,"GEELY CK (OLD) 1,5CC 2008 - 2010"
GEELY,NEW CK,,2010 - 2012,GEELY NEW CK  2010 - 2012
GEELY,NEW CK,,"2.014,00","GEELY NEW CK  2.014,00"
GEELY,COOLRAY TURBO AUT,"1,5CC",,"GEELY COOLRAY TURBO AUT 1,5CC "
GEELY,NEW COOLRAY TURBO,"1,5CC",,"GEELY NEW COOLRAY TURBO 1,5CC "
GEELY,EMGRAND EC7,"1,8CC",,"GEELY EMGRAND EC7 1,8CC "
GEELY,EMGRAND X7 SPORT,"2,0CC",,"GEELY EMGRAND X7 SPORT 2,0CC "
GEELY,GC5,"1,,5CC",2012 - 2018,"GEELY GC5 1,,5CC 2012 - 2018"
GEELY,LC,"1,3CC",,"GEELY LC 1,3CC "
GEELY,LC CROSS,,,GEELY LC CROSS  
GEELY,MK SEDAN,"1,5CC",,"GEELY MK SEDAN 1,5CC "
GEELY,MK RSI,,,GEELY MK RSI  
GREAT WALL,DEER,"2,2CC",2007 - 2012,"GREAT WALL DEER 2,2CC 2007 - 2012"
GREAT WALL,FLORID CROSS VVT,,,GREAT WALL FLORID CROSS VVT  
GREAT WALL,FLORID LE,"1,5CC",,"GREAT WALL FLORID LE 1,5CC "
GREAT WALL,HAVAL H2,"1,5CC",,"GREAT WALL HAVAL H2 1,5CC "
GREAT WALL,HAVAL 3 (OLD),,,GREAT WALL HAVAL 3 (OLD)  
GREAT WALL,NEW HAVAL H3,,,GREAT WALL NEW HAVAL H3  
GREAT WALL,HAVAL 5,,,GREAT WALL HAVAL 5  
GREAT WALL,HAVAL 6 (OLD),,,GREAT WALL HAVAL 6 (OLD)  
GREAT WALL,NEW HAVAL H6,,,GREAT WALL NEW HAVAL H6  
GREAT WALL,HAVAL 7,"2,0CC",,"GREAT WALL HAVAL 7 2,0CC "
GREAT WALL,HOVER,,,GREAT WALL HOVER  
GREAT WALL,M4,"1,5CC",,"GREAT WALL M4 1,5CC "
GREAT WALL,POER MT,"2,0CC",,"GREAT WALL POER MT 2,0CC "
GREAT WALL,POER PLUS TURBO AUT,"2,0CC",,"GREAT WALL POER PLUS TURBO AUT 2,0CC "
GREAT WALL,SAFE,"2,2CC",,"GREAT WALL SAFE 2,2CC "
GREAT WALL,SOCOOL,"2,2CC",,"GREAT WALL SOCOOL 2,2CC "
GREAT WALL,VOLEEX C10,,,GREAT WALL VOLEEX C10  
GREAT WALL,VOLEEX C20,,,GREAT WALL VOLEEX C20  
GREAT WALL,VOLEEX C30 (NEBLINERO REDONDO),,HASTA 2017,GREAT WALL VOLEEX C30 (NEBLINERO REDONDO)  HASTA 2017
GREAT WALL,VOLEEX C30 (NEBLINERO LED),,"2.018,00","GREAT WALL VOLEEX C30 (NEBLINERO LED)  2.018,00"
GREAT WALL,VOLEEX C30 PLUS (DOBLE NEBLINERO),,"2.020,00","GREAT WALL VOLEEX C30 PLUS (DOBLE NEBLINERO)  2.020,00"
GREAT WALL,VOLEEX C50,,,GREAT WALL VOLEEX C50  
GREAT WALL,WINGLE,,,GREAT WALL WINGLE  
GREAT WALL,WINGLE,"2,8CC",,"GREAT WALL WINGLE 2,8CC "
GREAT WALL,WINGLE 5,"2,2CC",,"GREAT WALL WINGLE 5 2,2CC "
GREAT WALL,NEW WINGLE 5,,,GREAT WALL NEW WINGLE 5  
GREAT WALL,WINGLE 5,"2,0CC",,"GREAT WALL WINGLE 5 2,0CC "
GREAT WALL,WINGLE 6,"2,0CC",,"GREAT WALL WINGLE 6 2,0CC "
GREAT WALL,WINGLE 7,"2,0CC",,"GREAT WALL WINGLE 7 2,0CC "
HAFEI,MINYI CARGO,,,HAFEI MINYI CARGO  
HAFEI,MINYI PICK-UP,,,HAFEI MINYI PICK-UP  
HAFEI,RUIYI,,,HAFEI RUIYI  
HAFEI,ZHONGI,,,HAFEI ZHONGI  
HAIMA,F-STAR,"1,0CC",,"HAIMA F-STAR 1,0CC "
HAIMA,F-STAR,"1,3CC",,"HAIMA F-STAR 1,3CC "
HAIMA,HAIMA 2,,,HAIMA HAIMA 2  
HAIMA,HAIMA 3,,,HAIMA HAIMA 3  
HAVAL,HAVAL 6 (OLD),,,HAVAL HAVAL 6 (OLD)  
HAVAL,JOLION TURBO,"1,5CC",,"HAVAL JOLION TURBO 1,5CC "
HAVAL,NEW HAVAL H3,,,HAVAL NEW HAVAL H3  
JAC,A137 SEDAN,,,JAC A137 SEDAN  
JAC,A137 SPORT VVT,"1,3CC",,"JAC A137 SPORT VVT 1,3CC "
JAC,A137 SPORT (NO VVT),"1,3CC",,"JAC A137 SPORT (NO VVT) 1,3CC "
JAC,A137 SPORT (NO VVT) - MITSUBISHI,"1,3CC",,"JAC A137 SPORT (NO VVT) - MITSUBISHI 1,3CC "
JAC,GRAND S3,"1,6CC",,"JAC GRAND S3 1,6CC "
JAC,HFC1035,,,JAC HFC1035  
JAC,J2 (3 CILINDROS),"1,0CC",,"JAC J2 (3 CILINDROS) 1,0CC "
JAC,J4,"1,5CC",,"JAC J4 1,5CC "
JAC,J5 (B-CLS),,,JAC J5 (B-CLS)  
JAC,J6 CROSS,"1,8CC",,"JAC J6 CROSS 1,8CC "
JAC,JS2,,,JAC JS2  
JAC,JS3,"1,6CC",,"JAC JS3 1,6CC "
JAC,JS4,"1,5CC",,"JAC JS4 1,5CC "
JAC,JS4,"1,6CC",,"JAC JS4 1,6CC "
JAC,REFINE DIESEL,"1,9CC",,"JAC REFINE DIESEL 1,9CC "
JAC,NEW REFINE VVT,"2,0CC",,"JAC NEW REFINE VVT 2,0CC "
JAC,REFINE DIESEL,"2,8CC",,"JAC REFINE DIESEL 2,8CC "
JAC,REFINE BENCINERA,"2,4CC",,"JAC REFINE BENCINERA 2,4CC "
JAC,REFINE M4 TURBO DIESEL,"1,9CC",DESDE 2018,"JAC REFINE M4 TURBO DIESEL 1,9CC DESDE 2018"
JAC,REIN,"2,0CC",,"JAC REIN 2,0CC "
JAC,REIN 4X2,"2,4CC",,"JAC REIN 4X2 2,4CC "
JAC,S2,"1,5CC",,"JAC S2 1,5CC "
JAC,S3,"1,5CC",,"JAC S3 1,5CC "
JAC,S5 SIN TURBO,"2,0CC",,"JAC S5 SIN TURBO 2,0CC "
JAC,S5 CON TURBO,"2,0CC",,"JAC S5 CON TURBO 2,0CC "
JAC,SUNRAY,"1,9CC",,"JAC SUNRAY 1,9CC "
JAC,SUNRAY,"2,7CC",,"JAC SUNRAY 2,7CC "
JAC,SUNRAY (MOTOR CUMMINS),"2,8CC",,"JAC SUNRAY (MOTOR CUMMINS) 2,8CC "
JAC,SUNRAY (MOTOR JAC),"2,8CC",,"JAC SUNRAY (MOTOR JAC) 2,8CC "
JAC,T6 DIESEL,"2,0CC",,"JAC T6 DIESEL 2,0CC "
JAC,T6 BENCINERO VVT,"2,0CC",,"JAC T6 BENCINERO VVT 2,0CC "
JAC,T8 TURBO DIESEL,"2,0CC",,"JAC T8 TURBO DIESEL 2,0CC "
JAC,T9 DIESEL 4X4,"2,0CC",,"JAC T9 DIESEL 4X4 2,0CC "
JAC,URBAN1035,,,JAC URBAN1035  
JAC,URBAN 1040,,,JAC URBAN 1040  
JAC,URBAN 1042,,,JAC URBAN 1042  
JAC,URBAN 1061,,,JAC URBAN 1061  
JAC,URBAN 1083,,,JAC URBAN 1083  
JAC,X200 DIESEL (EURO 5),"2,0CC",,"JAC X200 DIESEL (EURO 5) 2,0CC "
JETOUR,DASHING,"1,5CC",,"JETOUR DASHING 1,5CC "
JETOUR,X70,"1,5CC",,"JETOUR X70 1,5CC "
JETOUR,X70 PLUS AUT,"1,6CC",,"JETOUR X70 PLUS AUT 1,6CC "
JINBEI,HAISE BENCINERO,"2,0CC",,"JINBEI HAISE BENCINERO 2,0CC "
JINBEI,HAISE BENCINERO,"2,2CC",,"JINBEI HAISE BENCINERO 2,2CC "
JINBEI,HAISE DIESEL,"2,5CC",,"JINBEI HAISE DIESEL 2,5CC "
JMC,CARRYING,"2,5CC",,"JMC CARRYING 2,5CC "
JMC,CARRYING,"2,8CC",,"JMC CARRYING 2,8CC "
JMC,CONVEY,"4,0CC",,"JMC CONVEY 4,0CC "
JMC,GRAND AVENUE TURBO DIESEL 4X2,"2,3CC",,"JMC GRAND AVENUE TURBO DIESEL 4X2 2,3CC "
JMC,NEW VIGUS WORK TURBO EURO 6,"2,5CC",,"JMC NEW VIGUS WORK TURBO EURO 6 2,5CC "
JMC,VIGUS 5,"2,4CC",,"JMC VIGUS 5 2,4CC "
JMC,VIGUS PLUS,"2,4CC","2.022,00","JMC VIGUS PLUS 2,4CC 2.022,00"
JMC,VIGUS WORK,"2,5CC",2019 - 2021,"JMC VIGUS WORK 2,5CC 2019 - 2021"
JMC,VIGUS WORK,"2,5CC",2021 - 2022,"JMC VIGUS WORK 2,5CC 2021 - 2022"
KARRY,Q22,"1,3CC",,"KARRY Q22 1,3CC "
KYC,T3 GRAN MAMUT,"1,5CC",,"KYC T3 GRAN MAMUT 1,5CC "
KYC,T3 GRAN MAMUT,"1,6CC",,"KYC T3 GRAN MAMUT 1,6CC "
KYC,X5,"1,5CC",,"KYC X5 1,5CC "
KYC,X5,"1,6CC",,"KYC X5 1,6CC "
KYC,X5 PLUS,"1,8CC",,"KYC X5 PLUS 1,8CC "
LIFAN,"320,00","1,3CC",,"LIFAN 320,00 1,3CC "
LIFAN,"330,00","1,3CC",,"LIFAN 330,00 1,3CC "
LIFAN,"520,00",,,"LIFAN 520,00  "
LIFAN,"530,00",,,"LIFAN 530,00  "
LIFAN,"620,00",,,"LIFAN 620,00  "
LIFAN,FOISON,"1,2CC",,"LIFAN FOISON 1,2CC "
LIFAN,FOISON ONE,"1,2CC",,"LIFAN FOISON ONE 1,2CC "
LIFAN,FURGON ,"1,3CC",,"LIFAN FURGON  1,3CC "
LIFAN,PICK UP,"1,3CC",,"LIFAN PICK UP 1,3CC "
LIFAN,VAN,"1,3CC",,"LIFAN VAN 1,3CC "
LIFAN,X60,"1,8CC",,"LIFAN X60 1,8CC "
LIFAN,X7,"1,8CC",,"LIFAN X7 1,8CC "
MAHINDRA,KUV 100,"1,1CC",,"MAHINDRA KUV 100 1,1CC "
MAHINDRA,NEW PICK UP,,"2.018,00","MAHINDRA NEW PICK UP  2.018,00"
MAHINDRA,PICK UP (OLD),"2,5CC",,"MAHINDRA PICK UP (OLD) 2,5CC "
MAHINDRA,PICK UP (OLD),"2,6CC",,"MAHINDRA PICK UP (OLD) 2,6CC "
MAHINDRA,PICK UP EURO V,,,MAHINDRA PICK UP EURO V  
MAHINDRA,SCORPIO MAWK,"2,2CC","2.010,00","MAHINDRA SCORPIO MAWK 2,2CC 2.010,00"
MAHINDRA,SCORPIO MAWK,"2,2CC",2011 EN ADELANTE,"MAHINDRA SCORPIO MAWK 2,2CC 2011 EN ADELANTE"
MAHINDRA,XUV 500,,,MAHINDRA XUV 500  
MAHINDRA,NEW XUV 500,,,MAHINDRA NEW XUV 500  
MAXUS,C35,"2,0CC",,"MAXUS C35 2,0CC "
MAXUS,C35-L,"2,0CC",,"MAXUS C35-L 2,0CC "
MAXUS,DELIVER 9 / V9 CARGO DIESEL,"2,0CC",,"MAXUS DELIVER 9 / V9 CARGO DIESEL 2,0CC "
MAXUS,DELIVER 9 / V9 PASAJEROS DIESEL,"2,0CC",,"MAXUS DELIVER 9 / V9 PASAJEROS DIESEL 2,0CC "
MAXUS,V80 ESCOLAR,"2,5CC",,"MAXUS V80 ESCOLAR 2,5CC "
MAXUS,V80 PASAJEROS,"2,5CC",,"MAXUS V80 PASAJEROS 2,5CC "
MAXUS,EV30 AUT (ELECTRICO),,,MAXUS EV30 AUT (ELECTRICO)  
MAXUS,G10 CARGO TURBO DIESEL,"1,9CC",,"MAXUS G10 CARGO TURBO DIESEL 1,9CC "
MAXUS,G10 (EJECUTIVA),"2,0CC",,"MAXUS G10 (EJECUTIVA) 2,0CC "
MAXUS,G10 (EJECUTIVA) TUBO DIESEL,"2,0CC",,"MAXUS G10 (EJECUTIVA) TUBO DIESEL 2,0CC "
MAXUS,NEW T60,"2,0CC",,"MAXUS NEW T60 2,0CC "
MAXUS,T60,"2,0CC",,"MAXUS T60 2,0CC "
MAXUS,T80,"2,0CC",,"MAXUS T80 2,0CC "
MAXUS,T60,"2,8CC",,"MAXUS T60 2,8CC "
MAXUS,T80,"2,8CC",,"MAXUS T80 2,8CC "
MAXUS,T90 BI-TURBO,"2,0CC",,"MAXUS T90 BI-TURBO 2,0CC "
MG,"350,00","1,5CC",2013-2018,"MG 350,00 1,5CC 2013-2018"
MG,"360,00","1,5CC",,"MG 360,00 1,5CC "
MG,"550,00","1,8CC",,"MG 550,00 1,8CC "
MG,GS,"1,5CC",,"MG GS 1,5CC "
MG,GT TURBO,"1,4CC",,"MG GT TURBO 1,4CC "
MG,NEW GT TURBO,"1,5CC",,"MG NEW GT TURBO 1,5CC "
MG,HS TURBO,"1,5CC",,"MG HS TURBO 1,5CC "
MG,GT TURBO,"1,5CC",2019 - 2020,"MG GT TURBO 1,5CC 2019 - 2020"
MG,MG3,"1,5CC",2011 - 2014,"MG MG3 1,5CC 2011 - 2014"
MG,MG3,"1,5CC",2015 - 2019,"MG MG3 1,5CC 2015 - 2019"
MG,MG3,"1,5CC",2019 EN ADELANTE,"MG MG3 1,5CC 2019 EN ADELANTE"
MG,NEW MG3 HYBRID,"1,5CC",,"MG NEW MG3 HYBRID 1,5CC "
MG,MG3 CROSS,"1,5CC",,"MG MG3 CROSS 1,5CC "
MG,NEW MG5,"1,5CC",,"MG NEW MG5 1,5CC "
MG,MG6,,DESDE 2018,MG MG6  DESDE 2018
MG,MG6,,HASTA 2017,MG MG6  HASTA 2017
MG,ONE AUT,"1,5CC",,"MG ONE AUT 1,5CC "
MG,RX5 TURBO,"1,5CC",,"MG RX5 TURBO 1,5CC "
MG,RX5 TURBO,"2,0CC",,"MG RX5 TURBO 2,0CC "
MG,ZS,"1,5CC",,"MG ZS 1,5CC "
MG,ZX TURBO,"1,3CC",,"MG ZX TURBO 1,3CC "
MG,ZX,"1,5CC",,"MG ZX 1,5CC "
OMODA,C5 AUT,"1,5CC",,"OMODA C5 AUT 1,5CC "
SUZUKI,ALTO 800,"0,8CC",2013 - 2019,"SUZUKI ALTO 800 0,8CC 2013 - 2019"
SUZUKI,ALTO 800,"0,8CC",2007 - 2012,"SUZUKI ALTO 800 0,8CC 2007 - 2012"
SUZUKI,ALTO 1000,"1,0CC",2016 - 2019,"SUZUKI ALTO 1000 1,0CC 2016 - 2019"
SUZUKI,BALENO,"1,4CC",2016 - 2020,"SUZUKI BALENO 1,4CC 2016 - 2020"
SUZUKI,BALENO ,"1,4CC",2020 - 2021,"SUZUKI BALENO  1,4CC 2020 - 2021"
SUZUKI,CELERIO,,"2.014,00","SUZUKI CELERIO  2.014,00"
SUZUKI,CELERIO,,"2.015,00","SUZUKI CELERIO  2.015,00"
SUZUKI,K10,,2010 - 2015,SUZUKI K10  2010 - 2015
SUZUKI,SWIFT,,"2.010,00","SUZUKI SWIFT  2.010,00"
SUZUKI,SWIFT,,"2.015,00","SUZUKI SWIFT  2.015,00"
SUZUKI,SWIFT,,"2.018,00","SUZUKI SWIFT  2.018,00"
SUZUKI,SX4,,,SUZUKI SX4  
YUEGIN,"1.042,00",,,"YUEGIN 1.042,00  "
ZOTYE,HUNTER,"1,3CC",,"ZOTYE HUNTER 1,3CC "
ZOTYE,NEW HUNTER,,"2.014,00","ZOTYE NEW HUNTER  2.014,00"
ZX AUTO,ADMIRAL (OLD),,2007 - 2010,ZX AUTO ADMIRAL (OLD)  2007 - 2010
ZX AUTO,NEW ADMIRAL,,2010 - 2013,ZX AUTO NEW ADMIRAL  2010 - 2013
